City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,korla,41.7597,86.1469,59.23,26,100,5.53,CN,1681507245
114,masallatah,32.6167,14.0,55.9,67,27,6.78,LY,1681507113
115,hasaki,35.7333,140.8333,60.22,71,100,12.97,JP,1681507245
116,maputo,-25.9653,32.5892,74.88,71,40,16.11,MZ,1681507246
117,chokurdakh,70.6333,147.9167,10.11,94,100,1.32,RU,1681507246
118,lagoa,39.05,-27.9833,62.17,80,35,12.3,PT,1681507246
119,arraial do cabo,-22.9661,-42.0278,78.66,94,75,3.44,BR,1681507246
120,launceston,-41.45,147.1667,54.34,92,40,5.75,AU,1681507246
121,hakkari,37.5833,44.1667,37.18,75,75,3.44,TR,1681507246
122,naco,31.3347,-109.9483,73.42,21,1,24.09,MX,1681507246
123,cockburn town,21.4612,-71.1419,80.56,69,75,11.5,TC,1681507246
124,berlevag,70.8578,29.0864,31.95,55,0,8.05,NO,1681507247
125,touho,-20.7833,165.2333,76.93,82,100,10.47,NC,1681507247
126,mattru,7.6244,-11.8332,81.12,77,58,4.56,SL,1681507247
127,ulaanbaatar,47.9077,106.8832,17.73,67,0,0.0,MN,1681507122
128,avarua,-21.2078,-159.775,78.85,73,75,2.3,CK,1681507247
129,tombouctou,20.0,-3.0,83.57,8,2,11.12,ML,1681507247
130,chatrapur,19.35,84.9833,82.02,60,36,8.93,IN,1681507248
131,buka,40.8108,69.1986,68.9,53,100,3.51,UZ,1681507248
132,kahului,20.8947,-156.47,80.62,63,20,19.57,US,1681507142
133,cavalcante,-13.7975,-47.4583,76.08,73,99,2.48,BR,1681507248
134,kuusamo,65.9667,29.1833,21.24,49,0,1.14,FI,1681507248
135,albany,42.6001,-73.9662,86.63,26,88,1.5,US,1681507150
136,chimbote,-9.0853,-78.5783,80.82,72,88,13.6,PE,1681507248
137,norman wells,65.282,-126.8329,12.24,73,100,8.05,CA,1681507248
138,kurmanayevka,52.5093,52.0675,29.59,81,100,20.85,RU,1681507249
139,khatanga,71.9667,102.5,0.7,97,100,5.75,RU,1681507249
140,airai,-8.9266,125.4092,60.19,94,84,1.52,TL,1681507249
141,madimba,-10.4,40.3333,77.02,86,85,5.23,TZ,1681507249
142,ojhar,20.1,73.9333,80.22,35,95,3.83,IN,1681507249
143,avera,33.194,-82.5271,74.37,67,94,9.6,US,1681507249
144,salvador,13.8333,-88.9167,87.04,36,94,10.63,SV,1681507249
145,port alfred,-33.5906,26.891,58.17,78,33,7.0,ZA,1681507250
146,bairiki,1.3292,172.9752,84.2,79,75,6.91,KI,1681507250
147,mahebourg,-20.4081,57.7,77.29,88,40,2.3,MU,1681507250
148,victoria,22.2855,114.1577,77.2,90,58,6.73,HK,1681507234
149,srivardhan,18.0333,73.0167,81.5,71,94,4.25,IN,1681507250
150,kansanshi,-12.0951,26.4273,62.28,97,100,3.6,ZM,1681507250
151,vostok,46.4856,135.8833,24.28,79,11,2.89,RU,1681507250
152,north myrtle beach,33.816,-78.68,79.34,79,0,12.66,US,1681507250
153,west bay,19.3667,-81.4167,86.07,72,20,8.05,KY,1681507218
154,sao jose da coroa grande,-8.8978,-35.1478,78.62,74,94,8.08,BR,1681507251
155,linjiang,41.8069,126.9078,46.08,87,100,3.85,CN,1681507251
